MY_MMult_O0 = [
16 2.824828e-01 0.000000e+00 
32 2.824828e-01 0.000000e+00 
48 1.987278e-01 0.000000e+00 
64 2.378802e-01 0.000000e+00 
80 2.663892e-01 0.000000e+00 
96 3.410044e-01 0.000000e+00 
112 3.731053e-01 0.000000e+00 
128 4.529486e-01 0.000000e+00 
144 4.991198e-01 0.000000e+00 
160 5.524310e-01 0.000000e+00 
176 5.628802e-01 0.000000e+00 
192 5.339183e-01 0.000000e+00 
208 5.715409e-01 0.000000e+00 
224 5.575111e-01 0.000000e+00 
240 5.757841e-01 0.000000e+00 
256 5.675072e-01 0.000000e+00 
272 5.756028e-01 0.000000e+00 
288 5.694843e-01 0.000000e+00 
304 5.663122e-01 0.000000e+00 
320 5.620631e-01 0.000000e+00 
336 5.791616e-01 0.000000e+00 
352 5.683448e-01 0.000000e+00 
368 5.693497e-01 0.000000e+00 
384 5.602892e-01 0.000000e+00 
400 5.639313e-01 0.000000e+00 
416 5.635503e-01 0.000000e+00 
432 5.703442e-01 0.000000e+00 
448 5.485907e-01 0.000000e+00 
464 5.536994e-01 0.000000e+00 
480 5.574222e-01 0.000000e+00 
496 5.535986e-01 0.000000e+00 
512 5.365393e-01 0.000000e+00 
528 5.580775e-01 0.000000e+00 
544 5.484441e-01 0.000000e+00 
560 5.537701e-01 0.000000e+00 
576 5.411528e-01 0.000000e+00 
592 5.522041e-01 0.000000e+00 
608 5.423308e-01 0.000000e+00 
624 5.521194e-01 0.000000e+00 
640 5.367382e-01 0.000000e+00 
656 5.538093e-01 0.000000e+00 
672 5.347594e-01 0.000000e+00 
688 5.475332e-01 0.000000e+00 
704 5.214009e-01 0.000000e+00 
720 5.377446e-01 0.000000e+00 
736 5.284552e-01 0.000000e+00 
752 5.404943e-01 0.000000e+00 
768 5.234096e-01 0.000000e+00 
784 5.375786e-01 0.000000e+00 
800 5.262901e-01 0.000000e+00 
816 5.253924e-01 0.000000e+00 
832 5.203493e-01 0.000000e+00 
848 5.262215e-01 0.000000e+00 
864 5.125511e-01 0.000000e+00 
880 5.264106e-01 0.000000e+00 
896 5.178904e-01 0.000000e+00 
912 5.271122e-01 0.000000e+00 
928 5.119470e-01 0.000000e+00 
944 5.241774e-01 0.000000e+00 
960 5.152768e-01 0.000000e+00 
976 5.203217e-01 0.000000e+00 
992 5.089985e-01 0.000000e+00 
1008 5.209603e-01 0.000000e+00 
1024 4.975218e-01 0.000000e+00 
];


MY_MMult_O1 = [
16 6.826667e-01 0.000000e+00 
32 4.681143e-01 0.000000e+00 
48 3.573247e-01 0.000000e+00 
64 3.838126e-01 0.000000e+00 
80 3.722283e-01 0.000000e+00 
96 4.202023e-01 0.000000e+00 
112 4.576313e-01 0.000000e+00 
128 5.143230e-01 0.000000e+00 
144 5.752233e-01 0.000000e+00 
160 6.185442e-01 0.000000e+00 
176 6.590240e-01 0.000000e+00 
192 6.520394e-01 0.000000e+00 
208 6.766354e-01 0.000000e+00 
224 6.417211e-01 0.000000e+00 
240 6.592903e-01 0.000000e+00 
256 6.488713e-01 0.000000e+00 
272 6.554614e-01 0.000000e+00 
288 6.502401e-01 0.000000e+00 
304 6.456642e-01 0.000000e+00 
320 6.531328e-01 0.000000e+00 
336 6.465935e-01 0.000000e+00 
352 6.443275e-01 0.000000e+00 
368 6.251501e-01 0.000000e+00 
384 6.327488e-01 0.000000e+00 
400 6.395140e-01 0.000000e+00 
416 6.355949e-01 0.000000e+00 
432 6.331454e-01 0.000000e+00 
448 6.243322e-01 0.000000e+00 
464 6.312170e-01 0.000000e+00 
480 6.252074e-01 0.000000e+00 
496 6.317966e-01 0.000000e+00 
512 5.995061e-01 0.000000e+00 
528 6.310196e-01 0.000000e+00 
544 6.230268e-01 0.000000e+00 
560 6.286088e-01 0.000000e+00 
576 6.197790e-01 0.000000e+00 
592 6.206930e-01 0.000000e+00 
608 6.172903e-01 0.000000e+00 
624 6.207779e-01 0.000000e+00 
640 6.184983e-01 0.000000e+00 
656 6.183510e-01 0.000000e+00 
672 6.186013e-01 0.000000e+00 
688 6.200362e-01 0.000000e+00 
704 6.180074e-01 0.000000e+00 
720 6.194165e-01 0.000000e+00 
736 6.177665e-01 0.000000e+00 
752 6.130067e-01 0.000000e+00 
768 6.079827e-01 0.000000e+00 
784 6.157741e-01 0.000000e+00 
800 6.154297e-01 0.000000e+00 
816 6.131323e-01 0.000000e+00 
832 6.119104e-01 0.000000e+00 
848 6.128870e-01 0.000000e+00 
864 6.114602e-01 0.000000e+00 
880 6.139675e-01 0.000000e+00 
896 6.109848e-01 0.000000e+00 
912 6.122051e-01 0.000000e+00 
928 6.102625e-01 0.000000e+00 
944 6.093216e-01 0.000000e+00 
960 6.088717e-01 0.000000e+00 
976 6.102942e-01 0.000000e+00 
992 6.104449e-01 0.000000e+00 
1008 6.030707e-01 0.000000e+00 
1024 5.873805e-01 0.000000e+00 
];


MY_MMult_O2 = [
16 1.638400e+00 0.000000e+00 
32 1.598439e+00 0.000000e+00 
48 1.164126e+00 0.000000e+00 
64 1.044398e+00 0.000000e+00 
80 1.241212e+00 0.000000e+00 
96 1.230509e+00 0.000000e+00 
112 1.300257e+00 0.000000e+00 
128 1.312360e+00 0.000000e+00 
144 1.466233e+00 0.000000e+00 
160 1.602817e+00 0.000000e+00 
176 1.753829e+00 0.000000e+00 
192 1.887185e+00 0.000000e+00 
208 2.013179e+00 0.000000e+00 
224 2.193700e+00 0.000000e+00 
240 2.198473e+00 0.000000e+00 
256 2.101486e+00 0.000000e+00 
272 2.113274e+00 0.000000e+00 
288 2.089928e+00 0.000000e+00 
304 2.003813e+00 0.000000e+00 
320 1.993612e+00 0.000000e+00 
336 2.021479e+00 0.000000e+00 
352 2.043586e+00 0.000000e+00 
368 1.977660e+00 0.000000e+00 
384 1.982463e+00 0.000000e+00 
400 2.023683e+00 0.000000e+00 
416 2.004491e+00 0.000000e+00 
432 1.984946e+00 0.000000e+00 
448 1.926538e+00 0.000000e+00 
464 1.999306e+00 0.000000e+00 
480 1.959757e+00 0.000000e+00 
496 1.984629e+00 0.000000e+00 
512 1.696317e+00 0.000000e+00 
528 1.958657e+00 0.000000e+00 
544 1.911112e+00 0.000000e+00 
560 1.937223e+00 0.000000e+00 
576 1.920826e+00 0.000000e+00 
592 1.922406e+00 0.000000e+00 
608 1.855415e+00 0.000000e+00 
624 1.938778e+00 0.000000e+00 
640 1.875149e+00 0.000000e+00 
656 1.930009e+00 0.000000e+00 
672 1.881699e+00 0.000000e+00 
688 1.912439e+00 0.000000e+00 
704 1.849495e+00 0.000000e+00 
720 1.882234e+00 0.000000e+00 
736 1.836977e+00 0.000000e+00 
752 1.869517e+00 0.000000e+00 
768 1.836352e+00 0.000000e+00 
784 1.871891e+00 0.000000e+00 
800 1.819435e+00 0.000000e+00 
816 1.863697e+00 0.000000e+00 
832 1.781797e+00 0.000000e+00 
848 1.798372e+00 0.000000e+00 
864 1.805051e+00 0.000000e+00 
880 1.828248e+00 0.000000e+00 
896 1.795269e+00 0.000000e+00 
